cluster,rank,label,count,share,cluster_size
2,1,Notebook Parts & Accessories,42060,0.9975570998268625,42163
2,2,Flat Panel Spare Parts,63,0.0014942010767734744,42163
2,3,System Components,15,0.00035576216113654153,42163
1,1,Notebooks,23447,0.8594626296690004,27281
1,2,All-in-One PCs/Workstations,2485,0.09108903632564788,27281
1,3,PCs/Workstations,1174,0.04303361313734834,27281
0,1,Notebook Parts & Accessories,23245,0.9840819609669362,23621
0,2,Chassis Components,230,0.009737098344693282,23621
0,3,Tablet Spare Parts,47,0.001989754879132975,23621
14,1,Notebooks,16257,0.8906481126390182,18253
14,2,All-in-One PCs/Workstations,1755,0.09614857831589328,18253
14,3,Tablets,236,0.012929381471538924,18253
3,1,Notebooks,17038,0.9998239539933103,17041
3,2,All-in-One PCs/Workstations,2,0.00011736400445983217,17041
3,3,Tablets,1,5.8682002229916086e-05,17041
6,1,Data Storage Devices,14151,0.9912440459512468,14276
6,2,Chassis Components,27,0.001891286074530681,14276
6,3,Digital Media Players,26,0.0018212384421406557,14276
9,1,Software Licenses/Upgrades,10374,0.9518304431599229,10899
9,2,Antivirus Security Software,212,0.019451325809707314,10899
9,3,Computer Utilities,151,0.013854482062574548,10899
5,1,Printing Supplies,10805,0.9963116643614569,10845
5,2,Customer Displays,10,0.0009220839096357768,10845
5,3,Printing Media,4,0.00036883356385431073,10845
8,1,Networking Cables,4871,0.4841948310139165,10060
8,2,Cable Interface/Gender Adapters,1111,0.11043737574552684,10060
8,3,HDMI Cables,548,0.054473161033797214,10060
110,1,Software Licenses/Upgrades,9596,0.9744110479285134,9848
110,2,Antivirus Security Software,238,0.024167343623070676,9848
110,3,Computer Utilities,7,0.000710804224207961,9848
4,1,Notebooks,8306,0.9388493274556347,8847
4,2,All-in-One PCs/Workstations,485,0.05482084322369165,8847
4,3,PCs/Workstations,54,0.006103763987792472,8847
11,1,Keyboards,6625,0.7699907019990702,8604
11,2,Mobile Device Keyboards,1270,0.14760576476057646,8604
11,3,Notebook Parts & Accessories,419,0.048698279869827985,8604
10,1,TVs,7787,0.9334691920402781,8342
10,2,Hospitality TVs,359,0.0430352433469192,8342
10,3,Computer Monitors,80,0.009590026372572525,8342
24,1,Warranty & Support Extensions,7710,0.9985753140784872,7721
24,2,IT Support Services,8,0.0010361352156456418,7721
24,3,Notebook Parts & Accessories,1,0.00012951690195570523,7721
7,1,Notebook Parts & Accessories,3549,0.5092552733534222,6969
7,2,Flat Panel Spare Parts,3346,0.4801262734969149,6969
7,3,Mobile Phone Spare Parts,40,0.005739704405223131,6969
18,1,PCs/Workstations,6403,0.9697107375435409,6603
18,2,Tablets,136,0.020596698470392246,6603
18,3,POS Systems,15,0.002271694684234439,6603
20,1,Computer Monitors,5652,0.9348329474032419,6046
20,2,TVs,254,0.04201124710552431,6046
20,3,Chassis Components,52,0.008600727753886867,6046
12,1,PCs/Workstations,5393,0.8998831970632405,5993
12,2,PC/Workstation Barebones,368,0.061404972467879196,5993
12,3,All-in-One PCs/Workstations,151,0.02519606207241782,5993
13,1,Printing Equipment,5095,0.8687127024722933,5865
13,2,Scanning Equipment,634,0.10809889173060529,5865
13,3,Fax Machines,85,0.014492753623188406,5865
16,1,Mobile Phone Cases,4271,0.7785271600437477,5486
16,2,Tablet Cases,595,0.1084578928180824,5486
16,3,Notebook Parts & Accessories,196,0.03572730586948596,5486
36,1,System Components,4657,0.9829041789784719,4738
36,2,POS Systems,67,0.014140987758547911,4738
36,3,Notebooks,4,0.0008442380751371887,4738
15,1,System Components,4237,0.9616432137993645,4406
15,2,Print & Scan Accessories,99,0.022469359963685882,4406
15,3,Data Storage Devices,37,0.008397639582387654,4406
61,1,PCs/Workstations,4089,0.9948905109489051,4110
61,2,Thin Clients,9,0.0021897810218978104,4110
61,3,Tablets,8,0.0019464720194647203,4110
52,1,Power Adapters & Inverters,4010,0.9797214756902027,4093
52,2,Notebook Parts & Accessories,36,0.008795504519912045,4093
52,3,Mobile Device Chargers,15,0.003664793549963352,4093
21,1,Power Cables,1330,0.3350970017636684,3969
21,2,USB Cables,927,0.23356009070294784,3969
21,3,Serial Attached SCSI (SAS) Cables,229,0.05769715293524817,3969
30,1,Warranty & Support Extensions,3024,0.7714285714285715,3920
30,2,IT Support Services,556,0.14183673469387756,3920
30,3,Maintenance & Support Fees,126,0.03214285714285714,3920
131,1,Notebook Parts & Accessories,3862,0.9997411338338079,3863
131,2,Audio Equipment Parts & Accessories,1,0.0002588661661920787,3863
17,1,Notebooks,3753,0.9907602956705386,3788
17,2,All-in-One PCs/Workstations,23,0.006071805702217529,3788
17,3,Tablets,12,0.0031678986272439284,3788
67,1,Antivirus Security Software,2765,0.7893234370539538,3503
67,2,Software Licenses/Upgrades,732,0.20896374536111903,3503
67,3,Computer Utilities,4,0.0011418783899514702,3503
28,1,Projection Screens,3190,0.9568086382723455,3334
28,2,Projector Accessories,104,0.03119376124775045,3334
28,3,Remote Controls,8,0.0023995200959808036,3334
58,1,Fibre Optic Cables,3083,0.9691920779629047,3181
58,2,Networking Cables,32,0.010059729644765796,3181
58,3,Fibre Optic Adapters,20,0.006287331027978623,3181
48,1,Data Storage Devices,2907,0.9296450271826031,3127
48,2,Chassis Components,170,0.054365206267988485,3127
48,3,System Components,12,0.003837543971858011,3127
19,1,Notebook Parts & Accessories,2485,0.8128884527314361,3057
19,2,Mobile Phone Spare Parts,310,0.10140660778541054,3057
19,3,Battery Chargers,113,0.03696434412823029,3057
40,1,Notebooks,2179,0.7198546415592997,3027
40,2,PCs/Workstations,606,0.2001982160555005,3027
40,3,Notebook Parts & Accessories,60,0.019821605550049554,3027
37,1,Notebook Parts & Accessories,2874,0.9573617588274483,3002
37,2,Tablet Cases,89,0.029646902065289808,3002
37,3,Peripheral Device Cases,20,0.006662225183211193,3002
39,1,System Components,2968,0.9909849749582638,2995
39,2,Mobile Phones,7,0.002337228714524207,2995
39,3,Chassis Components,6,0.002003338898163606,2995
32,1,Smartphones,2894,0.983016304347826,2944
32,2,Tablets,42,0.014266304347826086,2944
32,3,Notebooks,3,0.0010190217391304348,2944
42,1,Print & Scan Accessories,2708,0.9331495520330806,2902
42,2,Printing Supplies,176,0.06064782908339077,2902
42,3,Printing Equipment,15,0.005168849069607168,2902
85,1,Warranty & Support Extensions,2891,0.9996542185338866,2892
85,2,Chassis Components,1,0.00034578146611341634,2892
38,1,Warranty & Support Extensions,2477,0.8612656467315716,2876
38,2,IT Support Services,361,0.12552155771905424,2876
38,3,Installation Services,10,0.0034770514603616135,2876
49,1,Networking Cables,425,0.1528776978417266,2780
49,2,Uninterruptible Power Supplies (UPSs),269,0.09676258992805756,2780
49,3,Fibre Optic Cables,256,0.0920863309352518,2780
23,1,Screen Protectors,2741,0.99745269286754,2748
23,2,Mobile Phone Cases,3,0.001091703056768559,2748
23,3,Notebook Parts & Accessories,2,0.000727802037845706,2748
25,1,Printing Supplies,1629,0.5969219494320264,2729
25,2,Printing Equipment,344,0.1260534994503481,2729
25,3,Data Projectors,198,0.07255404910223526,2729
41,1,Mobile Headsets,1370,0.5057216685123662,2709
41,2,Audio Equipment Parts & Accessories,1304,0.48135843484680696,2709
41,3,Portable Speakers,10,0.0036913990402362494,2709
59,1,Notebook Parts & Accessories,2619,0.999618320610687,2620
59,2,Handheld Mobile Computer Spare Parts,1,0.0003816793893129771,2620
73,1,Antivirus Security Software,2256,0.8633754305396096,2613
73,2,Software Licenses/Upgrades,357,0.13662456946039037,2613
34,1,Notebook Parts & Accessories,2326,0.9517184942716858,2444
34,2,Chassis Components,80,0.03273322422258593,2444
34,3,Tablet Spare Parts,32,0.01309328968903437,2444
54,1,Tablets,2390,0.9795081967213115,2440
