cluster,rank,label,count,share,cluster_size
12,1,Notebooks,9966,0.9944122929554979,10022
12,2,Tablets,41,0.004090999800439034,10022
12,3,All-in-One PCs/Workstations,15,0.0014967072440630613,10022
171,1,Software Licenses/Upgrades,9596,0.9744110479285134,9848
171,2,Antivirus Security Software,238,0.024167343623070676,9848
171,3,Computer Utilities,7,0.000710804224207961,9848
112,1,Notebook Parts & Accessories,6555,1.0,6555
83,1,Notebook Parts & Accessories,6082,1.0,6082
154,1,Notebook Parts & Accessories,5666,0.9954321855235418,5692
154,2,Tablet Spare Parts,26,0.004567814476458187,5692
49,1,Notebooks,5441,0.9992653810835629,5445
49,2,POS Systems,3,0.0005509641873278236,5445
49,3,System Components,1,0.00018365472910927456,5445
0,1,Computer Monitors,4649,0.9687434882267139,4799
0,2,TVs,111,0.023129818712231714,4799
0,3,Flat Panel Desk Mounts,18,0.003750781412794332,4799
1,1,System Components,4657,0.9829041789784719,4738
1,2,POS Systems,67,0.014140987758547911,4738
1,3,Notebooks,4,0.0008442380751371887,4738
17,1,Notebook Parts & Accessories,4607,0.9997829861111112,4608
17,2,Keyboards,1,0.00021701388888888888,4608
51,1,Notebooks,4277,0.93059181897302,4596
51,2,All-in-One PCs/Workstations,226,0.04917319408181027,4596
51,3,Tablets,90,0.0195822454308094,4596
189,1,Notebook Parts & Accessories,4489,1.0,4489
113,1,Notebook Parts & Accessories,4386,1.0,4386
176,1,Notebook Parts & Accessories,4347,0.9995401241664751,4349
176,2,Tablet Spare Parts,2,0.0004598758335249483,4349
66,1,PCs/Workstations,4089,0.9948905109489051,4110
66,2,Thin Clients,9,0.0021897810218978104,4110
66,3,Tablets,8,0.0019464720194647203,4110
39,1,Power Adapters & Inverters,4010,0.9797214756902027,4093
39,2,Notebook Parts & Accessories,36,0.008795504519912045,4093
39,3,Mobile Device Chargers,15,0.003664793549963352,4093
73,1,Warranty & Support Extensions,3917,0.9977075904228222,3926
73,2,IT Support Services,8,0.0020376974019358125,3926
73,3,Installation Services,1,0.00025471217524197657,3926
210,1,Notebook Parts & Accessories,3862,0.9997411338338079,3863
210,2,Audio Equipment Parts & Accessories,1,0.0002588661661920787,3863
16,1,Notebooks,3797,0.9992105263157894,3800
16,2,POS Systems,2,0.0005263157894736842,3800
16,3,All-in-One PCs/Workstations,1,0.0002631578947368421,3800
222,1,Warranty & Support Extensions,3793,0.9994729907773386,3795
222,2,Notebook Parts & Accessories,1,0.00026350461133069827,3795
222,3,Portable Speakers,1,0.00026350461133069827,3795
5,1,Data Storage Devices,3724,0.9849246231155779,3781
5,2,Chassis Components,18,0.004760645331922771,3781
5,3,System Components,16,0.004231684739486909,3781
140,1,Notebook Parts & Accessories,3621,1.0,3621
77,1,Antivirus Security Software,2765,0.7893234370539538,3503
77,2,Software Licenses/Upgrades,732,0.20896374536111903,3503
77,3,Computer Utilities,4,0.0011418783899514702,3503
2,1,System Components,3325,0.9668508287292817,3439
2,2,Print & Scan Accessories,72,0.020936318697295727,3439
2,3,Data Storage Devices,30,0.008723466123873218,3439
47,1,Notebooks,3352,1.0,3352
125,1,Notebook Parts & Accessories,3297,1.0,3297
59,1,PCs/Workstations,3044,0.9497659906396256,3205
59,2,Tablets,130,0.0405616224648986,3205
59,3,POS Systems,15,0.0046801872074883,3205
52,1,Fibre Optic Cables,3083,0.9691920779629047,3181
52,2,Networking Cables,32,0.010059729644765796,3181
52,3,Fibre Optic Adapters,20,0.006287331027978623,3181
10,1,TVs,2989,0.947084917617237,3156
10,2,Hospitality TVs,125,0.03960709759188847,3156
10,3,Flat Panel Wall Mounts,19,0.006020278833967047,3156
24,1,Notebooks,3150,0.999682640431609,3151
24,2,All-in-One PCs/Workstations,1,0.00031735956839098697,3151
18,1,Warranty & Support Extensions,2918,0.9275270184361093,3146
18,2,IT Support Services,193,0.061347743165924985,3146
18,3,Printing Supplies,11,0.0034965034965034965,3146
21,1,Printing Equipment,2998,0.9575215586074737,3131
21,2,Fax Machines,83,0.026509102523155543,3131
21,3,Printing Media,22,0.007026509102523155,3131
29,1,Data Storage Devices,2907,0.9296450271826031,3127
29,2,Chassis Components,170,0.054365206267988485,3127
29,3,System Components,12,0.003837543971858011,3127
7,1,Notebooks,2179,0.7198546415592997,3027
7,2,PCs/Workstations,606,0.2001982160555005,3027
7,3,Notebook Parts & Accessories,60,0.019821605550049554,3027
8,1,Notebooks,3021,1.0,3021
3,1,Notebook Parts & Accessories,2874,0.9573617588274483,3002
3,2,Tablet Cases,89,0.029646902065289808,3002
3,3,Peripheral Device Cases,20,0.006662225183211193,3002
6,1,System Components,2968,0.9909849749582638,2995
6,2,Mobile Phones,7,0.002337228714524207,2995
6,3,Chassis Components,6,0.002003338898163606,2995
143,1,Notebooks,2950,0.9889373114314448,2983
143,2,Tablets,21,0.007039892725444184,2983
143,3,POS Systems,6,0.002011397921555481,2983
19,1,Printing Supplies,2918,0.9993150684931507,2920
19,2,Printing Equipment,2,0.0006849315068493151,2920
13,1,Print & Scan Accessories,2708,0.9331495520330806,2902
13,2,Printing Supplies,176,0.06064782908339077,2902
13,3,Printing Equipment,15,0.005168849069607168,2902
118,1,Warranty & Support Extensions,2891,0.9996542185338866,2892
118,2,Chassis Components,1,0.00034578146611341634,2892
4,1,Warranty & Support Extensions,2477,0.8612656467315716,2876
4,2,IT Support Services,361,0.12552155771905424,2876
4,3,Installation Services,10,0.0034770514603616135,2876
9,1,Mobile Phone Cases,2365,0.8243290345067968,2869
9,2,Tablet Cases,211,0.07354478912513071,2869
9,3,MP3/MP4 Player Cases,112,0.03903799233182294,2869
99,1,Software Licenses/Upgrades,2595,0.9079776067179846,2858
99,2,Computer Utilities,138,0.04828551434569629,2858
